year,month,commodity,export_volume
2020,January,Soybeans,2141050
2020,February,Soybeans,471761
2020,March,Soybeans,208505
2020,April,Soybeans,423891
2020,May,Soybeans,164218
2020,June,Soybeans,353688.7
2020,July,Soybeans,445573
2020,August,Soybeans,2450315
2020,September,Soybeans,5068131
2020,October,Soybeans,8352777.6
2020,November,Soybeans,7802279.9
2020,December,Soybeans,6824014
2020,July,Wheat,452712
2020,August,Wheat,1177484
2020,September,Wheat,983732
2020,October,Wheat,1101488
2020,November,Wheat,1284311
2020,December,Wheat,1528825
2020,May,Corn,355414
2020,June,Corn,211756
2020,July,Corn,124840
2020,August,Corn,273857
2020,September,Corn,376663
2020,October,Corn,292379
2020,November,Corn,234694
2020,December,Corn,382639
2020,January,Cotton,47673.6
2020,February,Cotton,56278.6
2020,March,Cotton,58488.8
2020,April,Cotton,53863.4
2020,May,Cotton,74579.9
2020,June,Cotton,104846.4
2020,July,Cotton,142710.7
2020,August,Cotton,152332.1
2020,September,Cotton,80271.1
2020,October,Cotton,113086.7
2020,November,Cotton,135037.2
2020,December,Cotton,163348.7
2021,January,Soybeans,5426770.2
2021,January,Corn,1090074
2021,January,Wheat,100825
2021,January,Cotton,132673.9
2021,February,Soybeans,1385685
2021,February,Corn,1122737
2021,February,Wheat,266418
2021,February,Cotton,90158
2021,March,Soybeans,490496.2
2021,March,Corn,1747587
2021,March,Wheat,273176
2021,March,Cotton,58170.3
2021,April,Soybeans,85728.9
2021,April,Corn,2550973
2021,April,Wheat,577657
2021,April,Cotton,76553.8
2021,May,Soybeans,39794.6
2021,May,Corn,3407301
2021,May,Wheat,332098
2021,May,Cotton,61866.9
2021,June,Soybeans,20581.3
2021,June,Corn,2750013
2021,June,Wheat,130384
2021,June,Cotton,47178.3
2021,July,Soybeans,38916
2021,July,Corn,2683161
2021,July,Wheat,70200
2021,July,Cotton,30528.8
2021,August,Soybeans,416852.9
2021,August,Corn,1100422
2021,August,Wheat,389340
2021,August,Cotton,38959.3
2021,September,Soybeans,898491.2
2021,September,Corn,492824
2021,September,Wheat,208544
2021,September,Cotton,24207.7
