"product_types","month","import_value","year"
"Live animals","January",257.656,2021
"Live animals","Feburary",237.78,2021
"Live animals","March",281.916,2021
"Live animals","April",281.824,2021
"Live animals","May",228.239,2021
"Live animals","June",232.91,2021
"Live animals","July",229.561,2021
"Live animals","August",264.329,2021
"Live animals","September",280.804,2021
"Red meats and products","January",732.322,2021
"Red meats and products","Feburary",650.821,2021
"Red meats and products","March",915.208,2021
"Red meats and products","April",940.082,2021
"Red meats and products","May",974.533,2021
"Red meats and products","June",1206.685,2021
"Red meats and products","July",1123.271,2021
"Red meats and products","August",1237.815,2021
"Red meats and products","September",1148.751,2021
"Beef and veal","January",473.641,2021
"Beef and veal","Feburary",436.503,2021
"Beef and veal","March",587.348,2021
"Beef and veal","April",625.962,2021
"Beef and veal","May",665.406,2021
"Beef and veal","June",803.665,2021
"Beef and veal","July",760.909,2021
"Beef and veal","August",830.397,2021
"Beef and veal","September",754.358,2021
"Pork","January",131.3,2021
"Pork","Feburary",126.923,2021
"Pork","March",155.99,2021
"Pork","April",162.582,2021
"Pork","May",148.178,2021
"Pork","June",187.496,2021
"Pork","July",172.481,2021
"Pork","August",203.44,2021
"Pork","September",194.695,2021
"Dairy products","January",260.69,2021
"Dairy products","Feburary",225.466,2021
"Dairy products","March",332.916,2021
"Dairy products","April",313.551,2021
"Dairy products","May",322.229,2021
"Dairy products","June",383.9,2021
"Dairy products","July",344.648,2021
"Dairy products","August",320.776,2021
"Dairy products","September",363.056,2021
"Cheese","January",102.418,2021
"Cheese","Feburary",89.174,2021
"Cheese","March",110.972,2021
"Cheese","April",111.875,2021
"Cheese","May",111.836,2021
"Cheese","June",142.495,2021
"Cheese","July",128.32,2021
"Cheese","August",129.517,2021
"Cheese","September",147.295,2021
"Grains and feeds","January",1229.706,2021
"Grains and feeds","Feburary",1117.948,2021
"Grains and feeds","March",1358.167,2021
"Grains and feeds","April",1329.033,2021
"Grains and feeds","May",1351.694,2021
"Grains and feeds","June",1369.711,2021
"Grains and feeds","July",1433.46,2021
"Grains and feeds","August",1522.933,2021
"Grains and feeds","September",1524.022,2021
"Grain products","January",888.344,2021
"Grain products","Feburary",811.508,2021
"Grain products","March",973.394,2021
"Grain products","April",934.444,2021
"Grain products","May",973.463,2021
"Grain products","June",997.355,2021
"Grain products","July",982.798,2021
"Grain products","August",1099.588,2021
"Grain products","September",1077.72,2021
"Oilseeds and products","January",918.924,2021
"Oilseeds and products","Feburary",792.12,2021
"Oilseeds and products","March",973.002,2021
"Oilseeds and products","April",1104.877,2021
"Oilseeds and products","May",1086.447,2021
"Oilseeds and products","June",1270.979,2021
"Oilseeds and products","July",1364.371,2021
"Oilseeds and products","August",1099.401,2021
"Oilseeds and products","September",1208.126,2021
"Vegetable oils","January",692.445,2021
"Vegetable oils","Feburary",596.646,2021
"Vegetable oils","March",715.733,2021
"Vegetable oils","April",848.381,2021
"Vegetable oils","May",852.179,2021
"Vegetable oils","June",916.337,2021
"Vegetable oils","July",1093.835,2021
"Vegetable oils","August",890.417,2021
"Vegetable oils","September",1029.549,2021
"Fruits and preparations","January",1819.917,2021
"Fruits and preparations","Feburary",1895.154,2021
"Fruits and preparations","March",2261.838,2021
"Fruits and preparations","April",1957.641,2021
"Fruits and preparations","May",1828.448,2021
"Fruits and preparations","June",1736.692,2021
"Fruits and preparations","July",1431.266,2021
"Fruits and preparations","August",1469.102,2021
"Fruits and preparations","September",1498.555,2021
"Fruits, fresh or frozen","January",1530.746,2021
"Fruits, fresh or frozen","Feburary",1644.214,2021
"Fruits, fresh or frozen","March",1959.8,2021
"Fruits, fresh or frozen","April",1656.189,2021
"Fruits, fresh or frozen","May",1509.231,2021
"Fruits, fresh or frozen","June",1425.06,2021
"Fruits, fresh or frozen","July",1117.469,2021
"Fruits, fresh or frozen","August",1144.863,2021
"Fruits, fresh or frozen","September",1181.63,2021
"Fruits, prepared or preserved","January",289.171,2021
"Fruits, prepared or preserved","Feburary",250.94,2021
"Fruits, prepared or preserved","March",302.039,2021
"Fruits, prepared or preserved","April",301.452,2021
"Fruits, prepared or preserved","May",319.218,2021
"Fruits, prepared or preserved","June",311.632,2021
"Fruits, prepared or preserved","July",313.797,2021
"Fruits, prepared or preserved","August",324.24,2021
"Fruits, prepared or preserved","September",316.925,2021
"Fruit juices","January",173.276,2021
"Fruit juices","Feburary",181.695,2021
"Fruit juices","March",203.936,2021
"Fruit juices","April",199.627,2021
"Fruit juices","May",174.576,2021
"Fruit juices","June",175.065,2021
"Fruit juices","July",188.999,2021
"Fruit juices","August",167.167,2021
"Fruit juices","September",182.023,2021
"Vegetables and preparations","January",1664.875,2021
"Vegetables and preparations","Feburary",1514.605,2021
"Vegetables and preparations","March",1667.846,2021
"Vegetables and preparations","April",1566.297,2021
"Vegetables and preparations","May",1531.41,2021
"Vegetables and preparations","June",1463.971,2021
"Vegetables and preparations","July",1383.34,2021
"Vegetables and preparations","August",1366.847,2021
"Vegetables and preparations","September",1350.703,2021
"Vegetables, fresh or frozen","January",1308.972,2021
"Vegetables, fresh or frozen","Feburary",1193.234,2021
"Vegetables, fresh or frozen","March",1291.432,2021
"Vegetables, fresh or frozen","April",1170.452,2021
"Vegetables, fresh or frozen","May",1119.511,2021
"Vegetables, fresh or frozen","June",1029.313,2021
"Vegetables, fresh or frozen","July",991.704,2021
"Vegetables, fresh or frozen","August",959.831,2021
"Vegetables, fresh or frozen","September",979.165,2021
"Vegetables, prepared or preserved","January",335.864,2021
"Vegetables, prepared or preserved","Feburary",302.615,2021
"Vegetables, prepared or preserved","March",350.342,2021
"Vegetables, prepared or preserved","April",368.353,2021
"Vegetables, prepared or preserved","May",382.504,2021
"Vegetables, prepared or preserved","June",408.597,2021
"Vegetables, prepared or preserved","July",364.621,2021
"Vegetables, prepared or preserved","August",376.662,2021
"Vegetables, prepared or preserved","September",342.557,2021
"Tree nuts and preparations","January",235.18,2021
"Tree nuts and preparations","Feburary",208.441,2021
"Tree nuts and preparations","March",242.415,2021
"Tree nuts and preparations","April",217.784,2021
"Tree nuts and preparations","May",249.411,2021
"Tree nuts and preparations","June",248.831,2021
"Tree nuts and preparations","July",291.585,2021
"Tree nuts and preparations","August",286.233,2021
"Tree nuts and preparations","September",288.544,2021
"Cotton and linters","January",1.79,2021
"Cotton and linters","Feburary",1.636,2021
"Cotton and linters","March",1.556,2021
"Cotton and linters","April",1.117,2021
"Cotton and linters","May",1.479,2021
"Cotton and linters","June",1.702,2021
"Cotton and linters","July",2.911,2021
"Cotton and linters","August",3.425,2021
"Cotton and linters","September",2.35,2021
"Tobacco, manufactured","January",113.806,2021
"Tobacco, manufactured","Feburary",146.569,2021
"Tobacco, manufactured","March",163.604,2021
"Tobacco, manufactured","April",145.857,2021
"Tobacco, manufactured","May",158.654,2021
"Tobacco, manufactured","June",166.729,2021
"Tobacco, manufactured","July",167.272,2021
"Tobacco, manufactured","August",161.82,2021
"Tobacco, manufactured","September",158.17,2021
"Wine","January",494.305,2021
"Wine","Feburary",426.871,2021
"Wine","March",494.078,2021
"Wine","April",601.426,2021
"Wine","May",634.269,2021
"Wine","June",788.486,2021
"Wine","July",772.087,2021
"Wine","August",680.376,2021
"Wine","September",608.296,2021
"Malt beverages","January",513.042,2021
"Malt beverages","Feburary",402.697,2021
"Malt beverages","March",481.758,2021
"Malt beverages","April",559.076,2021
"Malt beverages","May",574.156,2021
"Malt beverages","June",612.748,2021
"Malt beverages","July",587.998,2021
"Malt beverages","August",598.385,2021
"Malt beverages","September",535.429,2021
"Distilled spirits","January",607.258,2021
"Distilled spirits","Feburary",547.673,2021
"Distilled spirits","March",798.209,2021
"Distilled spirits","April",787.795,2021
"Distilled spirits","May",887.305,2021
"Distilled spirits","June",986.71,2021
"Distilled spirits","July",1041.599,2021
"Distilled spirits","August",881.107,2021
"Distilled spirits","September",905.496,2021
"Essential oils","January",11.384,2021
"Essential oils","Feburary",9.156,2021
"Essential oils","March",8.918,2021
"Essential oils","April",9.834,2021
"Essential oils","May",15.487,2021
"Essential oils","June",13.108,2021
"Essential oils","July",14.094,2021
"Essential oils","August",13.632,2021
"Essential oils","September",15.158,2021
"Cut flowers and nursery stock","January",268.886,2021
"Cut flowers and nursery stock","Feburary",284.233,2021
"Cut flowers and nursery stock","March",230.743,2021
"Cut flowers and nursery stock","April",363.465,2021
"Cut flowers and nursery stock","May",296.289,2021
"Cut flowers and nursery stock","June",199.096,2021
"Cut flowers and nursery stock","July",179.583,2021
"Cut flowers and nursery stock","August",203.513,2021
"Cut flowers and nursery stock","September",229.917,2021
"Sugar and related products","January",91.424,2021
"Sugar and related products","Feburary",142.283,2021
"Sugar and related products","March",153.016,2021
"Sugar and related products","April",162.724,2021
"Sugar and related products","May",195.363,2021
"Sugar and related products","June",126.74,2021
"Sugar and related products","July",136.816,2021
"Sugar and related products","August",141.063,2021
"Sugar and related products","September",139.355,2021
"Confections","January",85.765,2021
"Confections","Feburary",88.924,2021
"Confections","March",115.125,2021
"Confections","April",103.056,2021
"Confections","May",123.801,2021
"Confections","June",136.132,2021
"Confections","July",130.71,2021
"Confections","August",143.514,2021
"Confections","September",125.772,2021
"Cocoa and products","January",456.72,2021
"Cocoa and products","Feburary",488.261,2021
"Cocoa and products","March",549.65,2021
"Cocoa and products","April",592.296,2021
"Cocoa and products","May",614.664,2021
"Cocoa and products","June",622.09,2021
"Cocoa and products","July",687.954,2021
"Cocoa and products","August",716.541,2021
"Cocoa and products","September",566.443,2021
"Coffee and products","January",58.664,2021
"Coffee and products","Feburary",54.563,2021
"Coffee and products","March",63.872,2021
"Coffee and products","April",64.466,2021
"Coffee and products","May",77.018,2021
"Coffee and products","June",65.331,2021
"Coffee and products","July",76.5,2021
"Coffee and products","August",75.207,2021
"Coffee and products","September",64.545,2021
