"product_types","month","import_volume","year"
"Wine 5/","January",105.704,2021
"Wine 5/","Feburary",97.5185,2021
"Wine 5/","March",112.2382,2021
"Wine 5/","April",119.2578,2021
"Wine 5/","May",125.8477,2021
"Wine 5/","June",152.4979,2021
"Wine 5/","July",150.6463,2021
"Wine 5/","August",134.3064,2021
"Wine 5/","September",119.3746,2021
"Malt beverages 5/","January",372.3473,2021
"Malt beverages 5/","Feburary",295.9845,2021
"Malt beverages 5/","March",358.9328,2021
"Malt beverages 5/","April",404.2397,2021
"Malt beverages 5/","May",418.5514,2021
"Malt beverages 5/","June",445.1464,2021
"Malt beverages 5/","July",421.5631,2021
"Malt beverages 5/","August",426.6098,2021
"Malt beverages 5/","September",387.8096,2021
"Cattle and calves","January",133.149,2021
"Cattle and calves","Feburary",155.017,2021
"Cattle and calves","March",190.636,2021
"Cattle and calves","April",179.484,2021
"Cattle and calves","May",121.792,2021
"Cattle and calves","June",122.06,2021
"Cattle and calves","July",113.284,2021
"Cattle and calves","August",121.055,2021
"Cattle and calves","September",121.512,2021
"Beef and veal","January",76.0164,2021
"Beef and veal","Feburary",67.6654,2021
"Beef and veal","March",92.8546,2021
"Beef and veal","April",92.2824,2021
"Beef and veal","May",91.4182,2021
"Beef and veal","June",107.9463,2021
"Beef and veal","July",102.8657,2021
"Beef and veal","August",111.8999,2021
"Beef and veal","September",96.0658,2021
"Dairy products","January",22.348727,2021
"Dairy products","Feburary",18.095969,2021
"Dairy products","March",28.667337,2021
"Dairy products","April",24.732739,2021
"Dairy products","May",25.803502,2021
"Dairy products","June",33.421991,2021
"Dairy products","July",30.855006,2021
"Dairy products","August",27.415565,2021
"Dairy products","September",30.708473,2021
"Processed grains, ex. feed","January",239.6311,2021
"Processed grains, ex. feed","Feburary",283.3863,2021
"Processed grains, ex. feed","March",272.0397,2021
"Processed grains, ex. feed","April",534.2713,2021
"Processed grains, ex. feed","May",391.6843,2021
"Processed grains, ex. feed","June",361.7153,2021
"Processed grains, ex. feed","July",496.5517,2021
"Processed grains, ex. feed","August",294.4137,2021
"Processed grains, ex. feed","September",357.3521,2021
"Fruits, fresh or frozen","January",1097.0289,2021
"Fruits, fresh or frozen","Feburary",1139.0744,2021
"Fruits, fresh or frozen","March",1342.8671,2021
"Fruits, fresh or frozen","April",1284.4184,2021
"Fruits, fresh or frozen","May",1264.4389,2021
"Fruits, fresh or frozen","June",1231.5571,2021
"Fruits, fresh or frozen","July",1075.2144,2021
"Fruits, fresh or frozen","August",1057.1806,2021
"Fruits, fresh or frozen","September",1025.5118,2021
"Fruits, prepared or preserved","January",140.2682,2021
"Fruits, prepared or preserved","Feburary",115.584,2021
"Fruits, prepared or preserved","March",138.1142,2021
"Fruits, prepared or preserved","April",140.7163,2021
"Fruits, prepared or preserved","May",144.6875,2021
"Fruits, prepared or preserved","June",132.8776,2021
"Fruits, prepared or preserved","July",134.2918,2021
"Fruits, prepared or preserved","August",140.2268,2021
"Fruits, prepared or preserved","September",136.5403,2021
"Vegetables, fresh or frozen","January",1090.3451,2021
"Vegetables, fresh or frozen","Feburary",1017.8812,2021
"Vegetables, fresh or frozen","March",1167.3732,2021
"Vegetables, fresh or frozen","April",1019.7099,2021
"Vegetables, fresh or frozen","May",944.5123,2021
"Vegetables, fresh or frozen","June",835.2836,2021
"Vegetables, fresh or frozen","July",785.8224,2021
"Vegetables, fresh or frozen","August",767.9179,2021
"Vegetables, fresh or frozen","September",791.4167,2021
"Vegetable oils","January",477.2823,2021
"Vegetable oils","Feburary",428.6853,2021
"Vegetable oils","March",458.8071,2021
"Vegetable oils","April",536.0733,2021
"Vegetable oils","May",496.5966,2021
"Vegetable oils","June",516.5621,2021
"Vegetable oils","July",665.7043,2021
"Vegetable oils","August",493.0776,2021
"Vegetable oils","September",697.3466,2021
"Sugar and related products","January",249.6693,2021
"Sugar and related products","Feburary",228.2595,2021
"Sugar and related products","March",316.1437,2021
"Sugar and related products","April",284.4711,2021
"Sugar and related products","May",269.9811,2021
"Sugar and related products","June",275.0459,2021
"Sugar and related products","July",249.2428,2021
"Sugar and related products","August",272.3781,2021
"Sugar and related products","September",259.9399,2021
"Cocoa and products","January",120.4441,2021
"Cocoa and products","Feburary",125.7949,2021
"Cocoa and products","March",135.18,2021
"Cocoa and products","April",136.1623,2021
"Cocoa and products","May",156.685,2021
"Cocoa and products","June",147.798,2021
"Cocoa and products","July",149.5607,2021
"Cocoa and products","August",159.7166,2021
"Cocoa and products","September",121.2152,2021
"Coffee and products","January",15.1171,2021
"Coffee and products","Feburary",14.9227,2021
"Coffee and products","March",16.3402,2021
"Coffee and products","April",16.1725,2021
"Coffee and products","May",20.6229,2021
"Coffee and products","June",16.3463,2021
"Coffee and products","July",19.321,2021
"Coffee and products","August",18.6681,2021
"Coffee and products","September",17.0799,2021
"Wine 5/","December",NA,2020
"Malt beverages 5/","December",484.6536,2020
"Cattle and calves","December",301.7908,2020
"Beef and veal","December",61.8612,2020
"Dairy products","December",1945.896,2020
"Processed grains, ex. feed","December",449.7411,2020
"Fruits, fresh or frozen","December",5499.938,2020
"Fruits, prepared or preserved","December",4617.542,2020
"Vegetables, fresh or frozen","December",854.186,2020
"Vegetable oils","December",10817.6915,2020
"Sugar and related products","December",1316.9073,2020
"Cocoa and products","December",232.348,2020
"Coffee and products","December",190.4311,2020
